Variable 1,Variable 2,Correlation Coefficient,p Value,Absolute Value of Correlation,Correlation Strength,Direction
high_cascades_upstream_pct,thermal_sensitivity,-0.778,<0.001,0.778,Strong,Negative
base_flow_index,thermal_sensitivity,-0.772,<0.001,0.772,Strong,Negative
mean_stream_temp_c,thermal_sensitivity,0.767,<0.001,0.767,Strong,Positive
elevation_m,thermal_sensitivity,-0.689,<0.001,0.689,Strong,Negative
developed_upstream_pct,thermal_sensitivity,0.679,<0.001,0.679,Strong,Positive
thermal_sensitivity,veg_height_upstream_m,-0.659,<0.001,0.659,Strong,Negative
agricultural_upstream_pct,thermal_sensitivity,0.649,<0.001,0.649,Strong,Positive
agricultural_reach_pct,thermal_sensitivity,0.615,<0.001,0.615,Strong,Positive
thermal_sensitivity,veg_height_reach_m,-0.596,<0.001,0.596,Strong,Negative
high_cascades_reach_pct,thermal_sensitivity,-0.593,<0.001,0.593,Strong,Negative
thermal_sensitivity,veg_cover_reach_pct,-0.578,<0.001,0.578,Moderate,Negative
developed_reach_pct,thermal_sensitivity,0.57,<0.001,0.57,Moderate,Positive
thermal_sensitivity,wet_season_precip_mm,-0.499,<0.001,0.499,Moderate,Negative
annual_precip_mm,thermal_sensitivity,-0.489,<0.001,0.489,Moderate,Negative
thermal_sensitivity,veg_cover_upstream_pct,-0.486,<0.001,0.486,Moderate,Negative
high_cascades_buffer_pct,thermal_sensitivity,-0.479,<0.001,0.479,Moderate,Negative
agricultural_buffer_pct,thermal_sensitivity,0.479,<0.001,0.479,Moderate,Positive
developed_buffer_pct,thermal_sensitivity,0.451,<0.001,0.451,Moderate,Positive
summer_precip_mm,thermal_sensitivity,0.434,<0.001,0.434,Moderate,Positive
forest_upstream_pct,thermal_sensitivity,-0.407,<0.001,0.407,Moderate,Negative
summer_mean_air_temp_c,thermal_sensitivity,0.389,<0.001,0.389,Weak,Positive
thermal_sensitivity,veg_height_buffer_m,-0.378,0.001,0.378,Weak,Negative
lakes_buffer_pct,thermal_sensitivity,0.374,0.001,0.374,Weak,Positive
lakes_reach_pct,thermal_sensitivity,0.347,0.003,0.347,Weak,Positive
mean_air_temp_c,thermal_sensitivity,0.327,0.005,0.327,Weak,Positive
thermal_sensitivity,veg_cover_buffer_pct,-0.29,0.013,0.29,Weak,Negative
channel_slope,thermal_sensitivity,-0.282,0.016,0.282,Weak,Negative
burned_upstream_pct,thermal_sensitivity,-0.244,0.039,0.244,Weak,Negative
thermal_sensitivity,wetlands_upstream_pct,0.236,0.046,0.236,Weak,Positive
thermal_sensitivity,wetlands_reach_pct,0.212,0.074,0.212,Weak,Positive
summer_mean_max_air_temp_c,thermal_sensitivity,0.205,0.084,0.205,Weak,Positive
solar_exposure,thermal_sensitivity,0.203,0.087,0.203,Weak,Positive
lakes_upstream_pct,thermal_sensitivity,-0.154,0.197,0.154,Very Weak,Negative
thermal_sensitivity,wetlands_buffer_pct,0.141,0.238,0.141,Very Weak,Positive
burned_reach_pct,thermal_sensitivity,-0.083,0.487,0.083,Very Weak,Negative
summer_max_air_temp_c,thermal_sensitivity,-0.072,0.546,0.072,Very Weak,Negative
burned_buffer_pct,thermal_sensitivity,-0.042,0.725,0.042,Very Weak,Negative
road_density_reach,thermal_sensitivity,-0.036,0.766,0.036,Very Weak,Negative
road_density_upstream,thermal_sensitivity,-0.025,0.833,0.025,Very Weak,Negative
shrub_upstream_pct,thermal_sensitivity,0.018,0.883,0.018,Very Weak,Positive
road_density_buffer,thermal_sensitivity,-0.009,0.939,0.009,Very Weak,Negative
thermal_sensitivity,upstream_area_km2,-0.004,0.971,0.004,Very Weak,Negative
