Variable 1,Variable 2,Correlation Coefficient,p Value,Absolute Value of Correlation,Correlation Strength,Direction
agricultural_upstream_pct,developed_upstream_pct,0.9356359946214342,0,0.9356359946214342,Very Strong,Positive
veg_cover_upstream_pct,veg_height_upstream_m,0.9061675992025211,0,0.9061675992025211,Very Strong,Positive
burned_upstream_pct,shrub_upstream_pct,0.871427158117893,0,0.871427158117893,Very Strong,Positive
forest_upstream_pct,veg_height_upstream_m,0.847768065161043,0,0.847768065161043,Very Strong,Positive
forest_upstream_pct,veg_cover_upstream_pct,0.8446163316815648,0,0.8446163316815648,Very Strong,Positive
high_cascades_upstream_pct,thermal_sensitivity,-0.7781816949824829,8.881784197001252e-16,0.7781816949824829,Strong,Negative
mean_stream_temp_c,thermal_sensitivity,0.7668164685783848,3.9968028886505635e-15,0.7668164685783848,Strong,Positive
developed_upstream_pct,veg_height_upstream_m,-0.7579685148343295,1.2878587085651816e-14,0.7579685148343295,Strong,Negative
agricultural_upstream_pct,veg_height_upstream_m,-0.733966527278993,2.220446049250313e-13,0.733966527278993,Strong,Negative
developed_upstream_pct,thermal_sensitivity,0.6787821641145126,5.650635515053182e-11,0.6787821641145126,Strong,Positive
developed_upstream_pct,mean_stream_temp_c,0.6733465789220039,9.144551782469534e-11,0.6733465789220039,Strong,Positive
developed_upstream_pct,veg_cover_upstream_pct,-0.6682100081280715,1.428002160963615e-10,0.6682100081280715,Strong,Negative
agricultural_upstream_pct,veg_cover_upstream_pct,-0.6635796424735161,2.118307751430848e-10,0.6635796424735161,Strong,Negative
thermal_sensitivity,veg_height_upstream_m,-0.6586379610906958,3.20242055096287e-10,0.6586379610906958,Strong,Negative
agricultural_upstream_pct,mean_stream_temp_c,0.6567617409591086,3.739009102332602e-10,0.6567617409591086,Strong,Positive
agricultural_upstream_pct,thermal_sensitivity,0.649228091817847,6.88983980978719e-10,0.649228091817847,Strong,Positive
high_cascades_upstream_pct,veg_height_upstream_m,0.6168257945236799,7.951078906387465e-9,0.6168257945236799,Strong,Positive
agricultural_upstream_pct,mean_air_temp_c,0.6090523134660926,1.372752311823433e-8,0.6090523134660926,Strong,Positive
mean_stream_temp_c,veg_height_upstream_m,-0.6077882822046434,1.4981484719456262e-8,0.6077882822046434,Strong,Negative
high_cascades_upstream_pct,mean_stream_temp_c,-0.6049739501812771,1.8175396521158405e-8,0.6049739501812771,Strong,Negative
mean_air_temp_c,mean_stream_temp_c,0.5974015254944701,3.029102702001296e-8,0.5974015254944701,Strong,Positive
developed_upstream_pct,high_cascades_upstream_pct,-0.5948882351048018,3.578309648588629e-8,0.5948882351048018,Strong,Negative
developed_upstream_pct,mean_air_temp_c,0.5890088175488624,5.2549115281408376e-8,0.5890088175488624,Moderate,Positive
lakes_upstream_pct,wetlands_upstream_pct,0.5838266782885115,7.327144846414058e-8,0.5838266782885115,Moderate,Positive
agricultural_upstream_pct,high_cascades_upstream_pct,-0.5661867432474387,2.177830116245616e-7,0.5661867432474387,Moderate,Negative
agricultural_upstream_pct,wetlands_upstream_pct,0.5410802020721924,9.240784577535521e-7,0.5410802020721924,Moderate,Positive
developed_upstream_pct,wetlands_upstream_pct,0.5253048960812424,2.161742399309219e-6,0.5253048960812424,Moderate,Positive
agricultural_upstream_pct,forest_upstream_pct,-0.5067094469577047,5.580787298731238e-6,0.5067094469577047,Moderate,Negative
mean_air_temp_c,road_density_upstream,0.5045136426861642,6.219443481558784e-6,0.5045136426861642,Moderate,Positive
developed_upstream_pct,forest_upstream_pct,-0.49755753857362656,8.72347849734112e-6,0.49755753857362656,Moderate,Negative
thermal_sensitivity,veg_cover_upstream_pct,-0.4855812910416477,1.5355721103338382e-5,0.4855812910416477,Moderate,Negative
developed_upstream_pct,road_density_upstream,0.4668356426187701,3.569996546426424e-5,0.4668356426187701,Moderate,Positive
mean_stream_temp_c,veg_cover_upstream_pct,-0.463213068364525,4.1786792517983784e-5,0.463213068364525,Moderate,Negative
burned_upstream_pct,lakes_upstream_pct,0.46089805288659763,4.6166831581651024e-5,0.46089805288659763,Moderate,Positive
forest_upstream_pct,high_cascades_upstream_pct,0.4523005396703762,6.643624182900432e-5,0.4523005396703762,Moderate,Positive
burned_upstream_pct,upstream_area_km2,0.45040600747971044,7.189092793247198e-5,0.45040600747971044,Moderate,Positive
agricultural_upstream_pct,road_density_upstream,0.44830712300949543,7.84160298294978e-5,0.44830712300949543,Moderate,Positive
lakes_upstream_pct,shrub_upstream_pct,0.4405073435404303,1.0776635466358542e-4,0.4405073435404303,Moderate,Positive
burned_upstream_pct,developed_upstream_pct,-0.4385343849258223,1.1664968907831863e-4,0.4385343849258223,Moderate,Negative
agricultural_upstream_pct,burned_upstream_pct,-0.4295316238370851,1.664210710783376e-4,0.4295316238370851,Moderate,Negative
