Variable,thermal_sensitivity,mean_stream_temp_c,mean_air_temp_c,developed_upstream_pct,lakes_upstream_pct,agricultural_upstream_pct,burned_upstream_pct,road_density_upstream,high_cascades_upstream_pct,wetlands_upstream_pct,veg_cover_upstream_pct,veg_height_upstream_m,forest_upstream_pct,shrub_upstream_pct,upstream_area_km2
thermal_sensitivity,NA,3.9968028886505635e-15,0.00499454453155157,5.650635515053182e-11,0.19690788011752036,6.88983980978719e-10,0.03927050455648251,0.8330258860340551,8.881784197001252e-16,0.04640007976003213,1.5355721103338382e-5,3.20242055096287e-10,3.8345531868966276e-4,0.8828564688028959,0.9707013153903921
mean_stream_temp_c,3.9968028886505635e-15,NA,3.029102702001296e-8,9.144551782469534e-11,0.7704898131379729,3.739009102332602e-10,0.8429259261146189,0.14256650264462478,1.8175396521158405e-8,0.0032218197226629997,4.1786792517983784e-5,1.4981484719456262e-8,0.0013234049481838372,0.30619602906259114,0.006345716620916653
mean_air_temp_c,0.00499454453155157,3.029102702001296e-8,NA,5.2549115281408376e-8,0.9813454821558056,1.372752311823433e-8,0.08883554567120466,6.219443481558784e-6,0.2741028648402435,0.0014947799769104986,8.951652069375537e-4,0.0030696571339616785,0.22975368201975144,0.06697206036270842,0.04649267650852473
developed_upstream_pct,5.650635515053182e-11,9.144551782469534e-11,5.2549115281408376e-8,NA,0.8974214956344766,0,1.1664968907831863e-4,3.569996546426424e-5,3.578309648588629e-8,2.161742399309219e-6,1.428002160963615e-10,1.2878587085651816e-14,8.72347849734112e-6,0.06659410680532396,0.12634889433626162
lakes_upstream_pct,0.19690788011752036,0.7704898131379729,0.9813454821558056,0.8974214956344766,NA,0.8507992425190576,4.6166831581651024e-5,0.16151874497155028,0.007319720648530481,7.327144846414058e-8,0.12646579262724278,0.45035230051759356,0.36573202836104457,1.0776635466358542e-4,6.760326048418364e-4
agricultural_upstream_pct,6.88983980978719e-10,3.739009102332602e-10,1.372752311823433e-8,0,0.8507992425190576,NA,1.664210710783376e-4,7.84160298294978e-5,2.177830116245616e-7,9.240784577535521e-7,2.118307751430848e-10,2.220446049250313e-13,5.580787298731238e-6,0.04923026308605838,0.12595559721467464
burned_upstream_pct,0.03927050455648251,0.8429259261146189,0.08883554567120466,1.1664968907831863e-4,4.6166831581651024e-5,1.664210710783376e-4,NA,0.017533201656402486,0.005502037783184033,0.2572068009599471,0.4615752086913192,0.59166843711558,0.09424585929096052,0,7.189092793247198e-5
road_density_upstream,0.8330258860340551,0.14256650264462478,6.219443481558784e-6,3.569996546426424e-5,0.16151874497155028,7.84160298294978e-5,0.017533201656402486,NA,0.4494238229355003,2.1219607726696843e-4,0.015320244439000374,0.013203909326895191,0.034488792102753685,0.004754362486582897,0.5050398492126786
high_cascades_upstream_pct,8.881784197001252e-16,1.8175396521158405e-8,0.2741028648402435,3.578309648588629e-8,0.007319720648530481,2.177830116245616e-7,0.005502037783184033,0.4494238229355003,NA,0.25606047875179394,3.88080072799335e-4,7.951078906387465e-9,6.643624182900432e-5,0.29316226561063874,0.007572483115649398
wetlands_upstream_pct,0.04640007976003213,0.0032218197226629997,0.0014947799769104986,2.161742399309219e-6,7.327144846414058e-8,9.240784577535521e-7,0.2572068009599471,2.1219607726696843e-4,0.25606047875179394,NA,3.8688344477844083e-4,4.756481163723514e-4,0.021727957593483893,0.6342376518459913,0.6066768384352883
veg_cover_upstream_pct,1.5355721103338382e-5,4.1786792517983784e-5,8.951652069375537e-4,1.428002160963615e-10,0.12646579262724278,2.118307751430848e-10,0.4615752086913192,0.015320244439000374,3.88080072799335e-4,3.8688344477844083e-4,NA,0,0,0.028852121454238766,0.029187879724371202
veg_height_upstream_m,3.20242055096287e-10,1.4981484719456262e-8,0.0030696571339616785,1.2878587085651816e-14,0.45035230051759356,2.220446049250313e-13,0.59166843711558,0.013203909326895191,7.951078906387465e-9,4.756481163723514e-4,0,NA,0,0.20635930556363302,0.019377776503316735
forest_upstream_pct,3.8345531868966276e-4,0.0013234049481838372,0.22975368201975144,8.72347849734112e-6,0.36573202836104457,5.580787298731238e-6,0.09424585929096052,0.034488792102753685,6.643624182900432e-5,0.021727957593483893,0,0,NA,0.005934401091253871,0.001012901043866421
shrub_upstream_pct,0.8828564688028959,0.30619602906259114,0.06697206036270842,0.06659410680532396,1.0776635466358542e-4,0.04923026308605838,0,0.004754362486582897,0.29316226561063874,0.6342376518459913,0.028852121454238766,0.20635930556363302,0.005934401091253871,NA,0.0012643089171404664
upstream_area_km2,0.9707013153903921,0.006345716620916653,0.04649267650852473,0.12634889433626162,6.760326048418364e-4,0.12595559721467464,7.189092793247198e-5,0.5050398492126786,0.007572483115649398,0.6066768384352883,0.029187879724371202,0.019377776503316735,0.001012901043866421,0.0012643089171404664,NA
