Variable,thermal_sensitivity,mean_stream_temp_c,mean_air_temp_c,channel_slope,solar_exposure,elevation_m,base_flow_index,summer_mean_max_air_temp_c,summer_max_air_temp_c,annual_precip_mm,summer_precip_mm,summer_mean_air_temp_c,wet_season_precip_mm,developed_upstream_pct,lakes_upstream_pct,agricultural_upstream_pct,burned_upstream_pct,road_density_upstream,high_cascades_upstream_pct,wetlands_upstream_pct,veg_cover_upstream_pct,veg_height_upstream_m,forest_upstream_pct,shrub_upstream_pct,upstream_area_km2,burned_reach_pct,agricultural_reach_pct,wetlands_reach_pct,lakes_reach_pct,high_cascades_reach_pct,developed_reach_pct,road_density_reach,veg_cover_reach_pct,veg_height_reach_m,developed_buffer_pct,agricultural_buffer_pct,burned_buffer_pct,wetlands_buffer_pct,lakes_buffer_pct,high_cascades_buffer_pct,road_density_buffer,veg_height_buffer_m,veg_cover_buffer_pct
thermal_sensitivity,1,0.7668164685783848,0.32741178814206023,-0.28205644578558814,0.20305213457716342,-0.6888688794659481,-0.7724074770534384,0.20534221151587537,-0.07225331320705052,-0.4891129581999647,0.4344204324449728,0.3893606096971082,-0.4988903929718069,0.6787821641145126,-0.15386186555194964,0.649228091817847,-0.24352306143016214,-0.025284195983681253,-0.7781816949824829,0.23553679911380548,-0.4855812910416477,-0.6586379610906958,-0.4073377250174763,0.01767321448277069,-0.004405605090907665,-0.08320302557454584,0.61451324597154,0.21157795842117938,0.3473413764039266,-0.5931309100756962,0.57011428269670406,-0.03574874588454781,-0.5782973678359032,-0.5955520554419298,0.45060408132117535,0.4787381489022917,-0.042142630868638814,0.140769789496879,0.37400756401057805,-0.4794946192899239,-0.009203320674332972,-0.37778599806931973,-0.28992056183508985
mean_stream_temp_c,0.7668164685783848,1,0.5974015254944701,-0.540416247032922,0.11867145941242586,-0.8750814120900021,-0.8147332302299183,0.4895596368222036,0.21972614891402542,-0.6290432884381475,0.23358767850740145,0.6875768936816379,-0.6416183651690291,0.6733465789220039,0.034982940471349006,0.6567617409591086,-0.023765099312797924,0.17453031168413743,-0.6049739501812771,0.3425837472214141,-0.463213068364525,-0.6077882822046434,-0.37127741993708996,0.12227636129149001,0.31879863656826807,0.0029183330414360486,0.7013566543568445,0.3784511316412988,0.3835502288690935,-0.6316975957159455,0.7164513696063897,0.27250287759785385,-0.7268868091164362,-0.6915104933024339,0.5822141136559431,0.6706189836292074,0.01201699021996469,0.3154046348105826,0.4536716495461979,-0.5293995549413442,0.09634893080938853,-0.6483835482964547,-0.6267718353628097
mean_air_temp_c,0.32741178814206023,0.5974015254944701,1,-0.43674910098535485,0.12245738101621502,-0.6317268835642327,-0.5351439369584777,0.9277497079826442,0.8170927612782433,-0.6965384873162497,-0.45422294826328774,0.9179972196605286,-0.6847743471125095,0.5890088175488624,-0.002804688685750529,0.6090523134660926,-0.2019946137856481,0.5045136426861642,-0.1306223210087851,0.3675015316810458,-0.3831048272281046,-0.3442134681869719,-0.14331466927615089,-0.2171037718267216,0.23543995262302603,-0.18755404526171407,0.6054756825618729,0.38292658420644426,0.21718833744661417,-0.23333359738962745,0.597836429334206,0.494134121594718,-0.5329981848935607,-0.5157468132595002,0.5542711623946316,0.7216751302825165,-0.0635563182506896,0.3548164391722445,0.2357239907251579,-0.15414420453896885,0.2592709607680587,-0.5236805130874777,-0.4859753230328102
channel_slope,-0.28205644578558814,-0.540416247032922,-0.43674910098535485,1,0.165609093490343,0.48394335623969986,0.293816757033161,-0.4134730649808469,-0.3113634747649972,0.37030007504081214,0.1305001741369232,-0.5090198459956778,0.35563026623853505,-0.17579874223944245,-0.3331430409396797,-0.19738769264006703,-0.3008095382771911,-0.08359937607463826,-0.06667046707637782,-0.21571119459509466,0.1235002785835905,0.1100067594103085,-0.025365932449742005,-0.30216024380064527,-0.7548007650065203,-0.12710209784915857,-0.32395920758353625,-0.22617190646506427,-0.09720526429239054,0.1878079802072153,-0.2789159544972928,-0.33079453730134667,0.3975358144535574,0.28325331549776034,-0.206371065577884,-0.33920242126073746,-0.08600747824039755,-0.2013008257815321,-0.17337801226816546,0.13176509930755823,-0.14477482549741336,0.4756596846053247,0.5774603793120439
solar_exposure,0.20305213457716342,0.11867145941242586,0.12245738101621502,0.165609093490343,1,-0.22182017014843763,-0.2794695918049765,0.10284822855478752,-0.01973335049831498,-0.20030878602812802,0.11326975351233284,0.20815709494677326,-0.2064201741205157,0.23369832629830228,-0.2293656386069578,0.1859780421614981,-0.45557485044012447,0.10487553935353233,-0.3328455803957967,0.18990671038773477,0.04512088280640474,-0.0870739773331011,0.05773514204800642,-0.35440941156510186,-0.16644556590488077,-0.16890303292675463,0.09466904136947916,-0.20003414282959356,0.07941535623567926,-0.49780647573590925,0.14280960714098903,-0.0921693819933522,-0.0924880590534086,-0.12847976069860567,0.12173428603535119,0.04119650106334066,-0.14976197917559295,-0.1906669945497089,-0.023123527867256067,-0.3815609922985953,0.0511300884421687,0.08129492931924542,0.09383895402132485
elevation_m,-0.6888688794659481,-0.8750814120900021,-0.6317268835642327,0.48394335623969986,-0.22182017014843763,1,0.8976897166241798,-0.566959906370903,-0.2958072662718072,0.8361183040398512,-0.13530291584541476,-0.7668987925934391,0.8467006549998278,-0.8049959678395944,-0.03925585092247743,-0.7663291647993873,0.2036244357172459,-0.35177204828240927,0.5675439341341766,-0.4893437425800077,0.4668065673093121,0.6264019920611178,0.3320333545189807,0.031199993576090105,-0.2472643673963242,0.1071936925722765,-0.8053669707099376,-0.4170872603692994,-0.5236466615059617,0.6307542456074874,-0.8345551480290726,-0.26550764741375876,0.8242228333413744,0.7960470240105498,-0.6859284966215375,-0.7606632507956936,0.06184403819057402,-0.364832710154333,-0.5407019213733338,0.5409986113536103,-0.032302867981748445,0.683022145028224,0.6129042633601904
base_flow_index,-0.7724074770534384,-0.8147332302299183,-0.5351439369584777,0.293816757033161,-0.2794695918049765,0.8976897166241798,1,-0.4704832211678988,-0.18926764935917115,0.7753089994058637,-0.256704703553852,-0.6372021583923353,0.7827877092080403,-0.898360633435193,0.029205465463325527,-0.8594940634126232,0.37733370377530673,-0.3385676764789563,0.7293147989625869,-0.490408980334941,0.5491589817892373,0.7310005561983939,0.4766798548575501,0.18016308283527335,0.0347666681882381,0.2712673283540212,-0.8460314761228444,-0.4115477563564934,-0.5361502978798995,0.6435583315339822,-0.8651155939903609,-0.13707751321279874,0.7271323694933877,0.7929911470983471,-0.693787024277261,-0.7440102838889059,0.2063384221434314,-0.35868557017130026,-0.5621186430855071,0.5431784845568458,0.042951323576921205,0.5823073896807726,0.39433244642148924
summer_mean_max_air_temp_c,0.20534221151587537,0.4895596368222036,0.9277497079826442,-0.4134730649808469,0.10284822855478752,-0.566959906370903,-0.4704832211678988,1,0.9196809109477782,-0.7220837287099732,-0.6231082232980041,0.9198739083583962,-0.7063222735094971,0.5649863748967615,0.03943431027072793,0.5857578150677897,-0.21813506706940589,0.5170938850668763,-0.021658094012700108,0.3922516448258988,-0.32601931667761647,-0.2560845229402704,-0.044758236380900374,-0.2554461018939897,0.25084222752560614,-0.265065007906746,0.581688335716318,0.40598821743502084,0.17153915347409618,-0.12660804947930318,0.5699417549693225,0.5185357929781109,-0.4805963430653191,-0.4729088601491051,0.5293717205231712,0.7363735902285092,-0.12299944457633748,0.3950029250944658,0.20772980164810484,-0.08421742285546147,0.2160364081694681,-0.5032406442076398,-0.4609112403677335
summer_max_air_temp_c,-0.07225331320705052,0.21972614891402542,0.8170927612782433,-0.3113634747649972,-0.01973335049831498,-0.2958072662718072,-0.18926764935917115,0.9196809109477782,1,-0.52931148173762,-0.8172636183797868,0.7509046753622722,-0.5111697251395211,0.3158333976046726,0.035825942010661325,0.34810174756953965,-0.06758868771485994,0.4697842007197326,0.24320308341993668,0.261267857582771,-0.2212698923490186,-0.0558802962145959,0.026037939166610746,-0.19272244783703824,0.23720582718316666,-0.2504529843534434,0.3305484996989712,0.3024024777132559,-0.05356954509562876,0.1267439922668615,0.3367048614267313,0.5022918442510896,-0.26637610782688753,-0.25305971482557965,0.3259630221259111,0.5615281733412221,-0.10967688135127542,0.33444209631701743,0.01014358806925264,0.12635182599242206,0.17909002348625508,-0.34936232508141507,-0.3489441774750938
annual_precip_mm,-0.4891129581999647,-0.6290432884381475,-0.6965384873162497,0.37030007504081214,-0.20030878602812802,0.8361183040398512,0.7753089994058637,-0.7220837287099732,-0.52931148173762,1,0.2393007060488605,-0.7941360953407208,0.9954002283802692,-0.8341802989196638,-0.022955021297298737,-0.8277772995490225,0.3608139801291004,-0.5683594437679959,0.31010292194040595,-0.5108978949432157,0.45032282451612765,0.508229283989152,0.2431387055718476,0.19503839814067953,-0.12573468664803608,0.31778431869211066,-0.8481622585135646,-0.4480719639287877,-0.4853944961781691,0.3831320896018284,-0.851888022309938,-0.32602087588658185,0.7144373506003637,0.7276572480002129,-0.6860282859108967,-0.7646132280075556,0.2530675886008348,-0.450133601707708,-0.4953257852207851,0.3294190957451882,-0.0034818582423970386,0.5978706640381902,0.4559899646933371
