Variable,thermal_sensitivity,mean_stream_temp_c,mean_air_temp_c,developed_buffer_pct,agricultural_buffer_pct,burned_buffer_pct,wetlands_buffer_pct,lakes_buffer_pct,high_cascades_buffer_pct,road_density_buffer,veg_height_buffer_m,veg_cover_buffer_pct
thermal_sensitivity,NA,3.9968028886505635e-15,0.00499454453155157,7.130183124592904e-5,2.1014287639342655e-5,0.7252208385693943,0.23821899130645074,0.001210764942986664,2.0304692552208792e-5,0.9388402238315607,0.0010691565348903698,0.013499645409836614
mean_stream_temp_c,3.9968028886505635e-15,NA,3.029102702001296e-8,8.116114114109507e-8,1.15991216631528e-10,0.92019622277115,0.006960770196991817,6.27303643616628e-5,1.7409524157852019e-6,0.42075327932539563,7.370681842644444e-10,3.867109743538322e-9
mean_air_temp_c,0.00499454453155157,3.029102702001296e-8,NA,4.3886827905126324e-7,8.544276397515205e-13,0.5958404874042986,0.002226779358711628,0.04622153285587549,0.19607748516650125,0.027860905429533567,2.353759715134629e-6,1.5077734253576835e-05
developed_buffer_pct,7.130183124592904e-5,8.116114114109507e-8,4.3886827905126324e-7,NA,4.440892098500626e-16,0.3254234766295623,1.8196913521606461e-4,2.7195534713087e-9,0.01611684948337455,0.13228868882049305,1.1983275749472e-7,3.313690372108713e-4
agricultural_buffer_pct,2.1014287639342655e-5,1.15991216631528e-10,8.544276397515205e-13,4.440892098500626e-16,NA,0.4038848711884495,6.828249048496104e-5,1.1202272097365906e-4,0.023886287150345797,0.4802035838817962,4.5239598733815e-9,6.1833127855681624e-6
burned_buffer_pct,0.7252208385693943,0.92019622277115,0.5958404874042986,0.3254234766295623,0.4038848711884495,NA,0.38733205042301644,0.23858185066092563,0.26955457397074545,0.9777298117727338,0.8099286099153389,0.012204887737256476
wetlands_buffer_pct,0.23821899130645074,0.006960770196991817,0.002226779358711628,1.8196913521606461e-4,6.828249048496104e-5,0.38733205042301644,NA,6.583466258149873e-4,0.8288961709379072,0.6617301926118606,6.62640871893494e-5,0.003531230958916609
lakes_buffer_pct,0.001210764942986664,6.27303643616628e-5,0.04622153285587549,2.7195534713087e-9,1.1202272097365906e-4,0.23858185066092563,6.583466258149873e-4,NA,0.016112950698688344,0.3629785263662053,8.762684399643561e-5,0.05277224793505653
high_cascades_buffer_pct,2.0304692552208792e-5,1.7409524157852019e-6,0.19607748516650125,0.01611684948337455,0.023886287150345797,0.26955457397074545,0.8288961709379072,0.016112950698688344,NA,0.9921210362056121,4.436958111480038e-4,0.026787218597198015
road_density_buffer,0.9388402238315607,0.42075327932539563,0.027860905429533567,0.13228868882049305,0.4802035838817962,0.9777298117727338,0.6617301926118606,0.3629785263662053,0.9921210362056121,NA,0.019138767551953872,0.014129919169520555
veg_height_buffer_m,0.0010691565348903698,7.370681842644444e-10,2.353759715134629e-6,1.1983275749472e-7,4.5239598733815e-9,0.8099286099153389,6.62640871893494e-5,8.762684399643561e-5,4.436958111480038e-4,0.019138767551953872,NA,0
veg_cover_buffer_pct,0.013499645409836614,3.867109743538322e-9,1.5077734253576835e-05,3.313690372108713e-4,6.1833127855681624e-6,0.012204887737256476,0.003531230958916609,0.05277224793505653,0.026787218597198015,0.014129919169520555,0,NA
