Variable 1,Variable 2,Correlation Coefficient,p Value,Absolute Value of Correlation,Correlation Strength,Direction
annual_precip_mm,wet_season_precip_mm,0.995,<0.001,0.995,Very Strong,Positive
mean_air_temp_c,summer_mean_max_air_temp_c,0.928,<0.001,0.928,Very Strong,Positive
summer_mean_air_temp_c,summer_mean_max_air_temp_c,0.92,<0.001,0.92,Very Strong,Positive
summer_max_air_temp_c,summer_mean_max_air_temp_c,0.92,<0.001,0.92,Very Strong,Positive
mean_air_temp_c,summer_mean_air_temp_c,0.918,<0.001,0.918,Very Strong,Positive
base_flow_index,elevation_m,0.898,<0.001,0.898,Very Strong,Positive
elevation_m,mean_stream_temp_c,-0.875,<0.001,0.875,Very Strong,Negative
elevation_m,wet_season_precip_mm,0.847,<0.001,0.847,Very Strong,Positive
annual_precip_mm,elevation_m,0.836,<0.001,0.836,Very Strong,Positive
summer_max_air_temp_c,summer_precip_mm,-0.817,<0.001,0.817,Very Strong,Negative
mean_air_temp_c,summer_max_air_temp_c,0.817,<0.001,0.817,Very Strong,Positive
base_flow_index,mean_stream_temp_c,-0.815,<0.001,0.815,Very Strong,Negative
annual_precip_mm,summer_mean_air_temp_c,-0.794,<0.001,0.794,Very Strong,Negative
summer_mean_air_temp_c,wet_season_precip_mm,-0.784,<0.001,0.784,Strong,Negative
base_flow_index,wet_season_precip_mm,0.783,<0.001,0.783,Strong,Positive
annual_precip_mm,base_flow_index,0.775,<0.001,0.775,Strong,Positive
base_flow_index,thermal_sensitivity,-0.772,<0.001,0.772,Strong,Negative
elevation_m,summer_mean_air_temp_c,-0.767,<0.001,0.767,Strong,Negative
mean_stream_temp_c,thermal_sensitivity,0.767,<0.001,0.767,Strong,Positive
summer_max_air_temp_c,summer_mean_air_temp_c,0.751,<0.001,0.751,Strong,Positive
annual_precip_mm,summer_mean_max_air_temp_c,-0.722,<0.001,0.722,Strong,Negative
summer_mean_max_air_temp_c,wet_season_precip_mm,-0.706,<0.001,0.706,Strong,Negative
annual_precip_mm,mean_air_temp_c,-0.697,<0.001,0.697,Strong,Negative
elevation_m,thermal_sensitivity,-0.689,<0.001,0.689,Strong,Negative
mean_stream_temp_c,summer_mean_air_temp_c,0.688,<0.001,0.688,Strong,Positive
mean_air_temp_c,wet_season_precip_mm,-0.685,<0.001,0.685,Strong,Negative
mean_stream_temp_c,wet_season_precip_mm,-0.642,<0.001,0.642,Strong,Negative
base_flow_index,summer_mean_air_temp_c,-0.637,<0.001,0.637,Strong,Negative
elevation_m,mean_air_temp_c,-0.632,<0.001,0.632,Strong,Negative
annual_precip_mm,mean_stream_temp_c,-0.629,<0.001,0.629,Strong,Negative
summer_mean_max_air_temp_c,summer_precip_mm,-0.623,<0.001,0.623,Strong,Negative
mean_air_temp_c,mean_stream_temp_c,0.597,<0.001,0.597,Strong,Positive
elevation_m,summer_mean_max_air_temp_c,-0.567,<0.001,0.567,Moderate,Negative
channel_slope,mean_stream_temp_c,-0.54,<0.001,0.54,Moderate,Negative
base_flow_index,mean_air_temp_c,-0.535,<0.001,0.535,Moderate,Negative
annual_precip_mm,summer_max_air_temp_c,-0.529,<0.001,0.529,Moderate,Negative
summer_max_air_temp_c,wet_season_precip_mm,-0.511,<0.001,0.511,Moderate,Negative
channel_slope,summer_mean_air_temp_c,-0.509,<0.001,0.509,Moderate,Negative
thermal_sensitivity,wet_season_precip_mm,-0.499,<0.001,0.499,Moderate,Negative
mean_stream_temp_c,summer_mean_max_air_temp_c,0.49,<0.001,0.49,Moderate,Positive
annual_precip_mm,thermal_sensitivity,-0.489,<0.001,0.489,Moderate,Negative
channel_slope,elevation_m,0.484,<0.001,0.484,Moderate,Positive
base_flow_index,summer_mean_max_air_temp_c,-0.47,<0.001,0.47,Moderate,Negative
