Variable,thermal_sensitivity,mean_stream_temp_c,mean_air_temp_c,channel_slope,solar_exposure,elevation_m,base_flow_index,summer_mean_max_air_temp_c,summer_max_air_temp_c,annual_precip_mm,summer_precip_mm,summer_mean_air_temp_c,wet_season_precip_mm,developed_upstream_pct,lakes_upstream_pct,agricultural_upstream_pct,burned_upstream_pct,road_density_upstream,high_cascades_upstream_pct,wetlands_upstream_pct,veg_cover_upstream_pct,veg_height_upstream_m,forest_upstream_pct,shrub_upstream_pct,upstream_area_km2,burned_reach_pct,agricultural_reach_pct,wetlands_reach_pct,lakes_reach_pct,high_cascades_reach_pct,developed_reach_pct,road_density_reach,veg_cover_reach_pct,veg_height_reach_m,developed_buffer_pct,agricultural_buffer_pct,burned_buffer_pct,wetlands_buffer_pct,lakes_buffer_pct,high_cascades_buffer_pct,road_density_buffer,veg_height_buffer_m,veg_cover_buffer_pct
thermal_sensitivity,NA,3.9968028886505635e-15,0.00499454453155157,0.01637724288961051,0.08714190897937946,2.2497559371004172e-11,1.7763568394002505e-15,0.08356172363544734,0.5464096578772697,1.3025879301631349e-5,1.3738524200657132e-4,7.236219488115925e-4,8.180568918270126e-6,5.650635515053182e-11,0.19690788011752036,6.88983980978719e-10,0.03927050455648251,0.8330258860340551,8.881784197001252e-16,0.04640007976003213,1.5355721103338382e-5,3.20242055096287e-10,3.8345531868966276e-4,0.8828564688028959,0.9707013153903921,0.48714852070941683,9.368162467993102e-9,0.07440160850947475,0.0027954624735708755,4.01706659047818e-8,1.7182120370939913e-7,0.7656080600722568,1.0380762249795339e-7,3.424720063094355e-8,7.130183124592904e-5,2.1014287639342655e-5,0.7252208385693943,0.23821899130645074,0.001210764942986664,2.0304692552208792e-5,0.9388402238315607,0.0010691565348903698,0.013499645409836614
mean_stream_temp_c,3.9968028886505635e-15,NA,3.029102702001296e-8,9.585692026803372e-7,0.32078239939094066,0,0,1.2755929132524102e-5,0.06366163817839343,3.2683931117105658e-9,0.04829315783425914,2.5366597711240502e-11,1.2558891704372854e-9,9.144551782469534e-11,0.7704898131379729,3.739009102332602e-10,0.8429259261146189,0.14256650264462478,1.8175396521158405e-8,0.0032218197226629997,4.1786792517983784e-5,1.4981484719456262e-8,0.0013234049481838372,0.30619602906259114,0.006345716620916653,0.9805897549982834,6.824318887765912e-12,0.0010458404691229273,8.818300345452279e-4,2.6804949371239672e-9,1.4832579608992091e-12,0.02056868758995689,4.867217739956686e-13,1.7567725052458627e-11,8.116114114109507e-8,1.15991216631528e-10,0.92019622277115,0.006960770196991817,6.27303643616628e-5,1.7409524157852019e-6,0.42075327932539563,7.370681842644444e-10,3.867109743538322e-9
mean_air_temp_c,0.00499454453155157,3.029102702001296e-8,NA,1.2526525667433397e-4,0.30547510286648105,2.674608090558195e-9,1.27878306299678e-6,0,0,1.0890843782362936e-11,6.129499952622908e-5,0,3.284128524683183e-11,5.2549115281408376e-8,0.9813454821558056,1.372752311823433e-8,0.08883554567120466,6.219443481558784e-6,0.2741028648402435,0.0014947799769104986,8.951652069375537e-4,0.0030696571339616785,0.22975368201975144,0.06697206036270842,0.04649267650852473,0.11465030783727692,1.756228074079047e-8,9.005527729679663e-4,0.0668631851765844,0.04854454459820645,2.9425843983688083e-8,1.027621185811789e-5,1.4359401501184976e-6,3.544462497728773e-6,4.3886827905126324e-7,8.544276397515205e-13,0.5958404874042986,0.002226779358711628,0.04622153285587549,0.19607748516650125,0.027860905429533567,2.353759715134629e-6,1.5077734253576835e-05
channel_slope,0.01637724288961051,9.585692026803372e-7,1.2526525667433397e-4,NA,0.16444782744640896,1.656329193844286e-5,0.012243679322325285,3.061910034887205e-4,0.007760923536966002,0.0013659723649648292,0.2745557055324457,4.975426009412587e-6,0.0021716015862898175,0.13964200602425225,0.004242969518546413,0.09651829620713626,0.010242111529067843,0.4850690650156033,0.577912502344414,0.06878557611796365,0.30134314659768013,0.3576261986865399,0.832493924070991,0.009890210628662022,1.887379141862766e-14,0.2873540544508846,0.0055021147879232846,0.056084393203486016,0.4166167762479862,0.11415124079988082,0.017665711268779916,0.004537867164138065,5.445155203176455e-4,0.01590790581577073,0.08199168449786032,0.003559144307885731,0.4725366725839355,0.08996068168866644,0.14526290672169395,0.2698903813230866,0.224992257002103,2.4146971190130984e-5,1.0936749217371755e-7
solar_exposure,0.08714190897937946,0.32078239939094066,0.30547510286648105,0.16444782744640896,NA,0.06111425403769721,0.017432451573204943,0.38995131975300024,0.8693150980147761,0.09158896116984128,0.3434563422860113,0.07932186143605247,0.08191733387658418,0.04818401827629737,0.052611869698667935,0.11778532896821092,5.7902927445896424e-5,0.38062508475153045,0.0042793555504596625,0.11009035958657343,0.7066533715280265,0.4670425971832848,0.6299997961922295,0.002254844691924607,0.16229678428121863,0.1560974703014013,0.4289361226234003,0.09204381682450702,0.5072558883770466,8.619588504732434e-6,0.2314168451156413,0.44127810345160823,0.4396936663348374,0.28211860552953394,0.3083614826028862,0.7311531854692688,0.20925110446051054,0.10864714384393359,0.8471144834031918,9.428144561298701e-4,0.6697149131908617,0.4972249337191652,0.4330127107224908
elevation_m,2.2497559371004172e-11,0,2.674608090558195e-9,1.656329193844286e-5,0.06111425403769721,NA,0,2.0790434573925154e-7,0.011642054477671637,0,0.25712590262023904,3.9968028886505635e-15,0,0,0.7433702897358965,4.440892098500626e-15,0.08623604992772815,0.002444506611228192,2.0072466755394203e-7,1.288574615188054e-5,3.5745356057770294e-5,3.973975815085851e-9,0.004380122533861108,0.7947321043488125,0.03625790455767586,0.3701267867605127,0,2.6763732675783025e-4,2.35792663061396e-6,2.8768405435641853e-9,0,0.02418986817993307,0,0,2.9538149703967065e-11,8.881784197001252e-15,0.6058024748610629,0.0016277099995154476,9.435831933579664e-7,9.282530109011589e-7,0.787643367927269,3.8539837987627834e-11,1.049237585704077e-8
base_flow_index,1.7763568394002505e-15,0,1.27878306299678e-6,0.012243679322325285,0.017432451573204943,0,NA,3.0411740501445905e-5,0.11131488787610966,1.3322676295501878e-15,0.02950241845793089,1.76596204326529e-9,4.440892098500626e-16,0,0.8075937892199647,0,0.0010852791936650785,0.0036258604097054725,3.730349362740526e-13,1.2256972774737918e-5,5.879004714159919e-7,3.0953017926549364e-13,2.3063656708011138e-5,0.12992415903439314,0.7718700981507503,0.021172402509864963,0,3.287453179667832e-4,1.210787269112501e-6,1.079365041789515e-9,0,0.25088006812215835,4.738431869100168e-13,0,1.4165113526587447e-11,6.972200594645983e-14,0.08204113646887423,0.0019752268455630606,2.7749742992355664e-7,8.226013783474428e-7,0.7201629812634502,8.068367551850031e-8,6.092278858447209e-4
summer_mean_max_air_temp_c,0.08356172363544734,1.2755929132524102e-5,0,3.061910034887205e-4,0.38995131975300024,2.0790434573925154e-7,3.0411740501445905e-5,NA,0,8.180123245438153e-13,5.057966934174374e-9,0,4.1744385725905886e-12,2.3400344417723318e-7,0.7422441265416595,6.47783089391396e-8,0.06565401125986825,3.3088610345011205e-6,0.8566973837828684,6.549347417896811e-4,0.005194043419239236,0.02991110494015481,0.7089053813619435,0.030336774403190603,0.03355966302124047,0.024436145913511176,8.390296035720723e-8,4.026799094387634e-4,0.1496447547859594,0.2892470829408458,1.7363094162448078e-7,3.0729945481589027e-6,1.9311070001082342e-5,2.730862211297591e-5,1.7435329791037901e-6,1.6897594434794883e-13,0.3033228825587806,5.95130886963835e-4,0.07995421446375461,0.4818358871296118,0.06835856531086226,6.620381764355088e-6,4.614071757291782e-5
summer_max_air_temp_c,0.5464096578772697,0.06366163817839343,0,0.007760923536966002,0.8693150980147761,0.011642054477671637,0.11131488787610966,0,NA,1.7491301060879039e-6,0,3.064215547965432e-14,4.467879257674667e-6,0.006880285865531022,0.7651164620485595,0.0027322068660815546,0.5726741735494474,3.1365036862851525e-5,0.03953753794620818,0.026637498926962655,0.06177552921309859,0.641053653606789,0.8281231971937564,0.1048186449424704,0.04482801101186418,0.03384481451114607,0.004569788851691348,0.00982822820323026,0.654933930083226,0.2887253778372063,0.0038281248950116087,6.934804215763535e-6,0.023712783530604575,0.031973262843953076,0.00520225479453984,2.8735367774146425e-7,0.35907848669749387,0.0040872629979262776,0.9326056528621924,0.29023207509169446,0.132264462469466,0.002630153114764111,0.0026636211727721903
annual_precip_mm,1.3025879301631349e-5,3.2683931117105658e-9,1.0890843782362936e-11,0.0013659723649648292,0.09158896116984128,0,1.3322676295501878e-15,8.180123245438153e-13,1.7491301060879039e-6,NA,0.04291729198062666,0,0,0,0.8482152997907253,0,0.0018480093670794062,1.9109051407895095e-7,0.008026487229533252,4.5292612460556825e-6,7.213966463970323e-5,5.175280465063992e-6,0.03959144541842674,0.10063140056201991,0.2926135814848805,0.006524310652619381,0,7.918025703590459e-5,1.5489166748094974e-5,8.943437572834778e-4,0,0.0051938161491851265,1.8283152769527078e-12,4.476419235288631e-13,2.92679214197733e-11,5.3290705182007514e-15,0.03196774397862434,7.270845417384209e-5,9.708572077160582e-6,0.0047188883240039114,0.9768426158493797,2.9358743436347368e-8,5.6896789397464786e-5
