Variable,thermal_sensitivity,mean_stream_temp_c,mean_air_temp_c,burned_reach_pct,agricultural_reach_pct,wetlands_reach_pct,lakes_reach_pct,high_cascades_reach_pct,developed_reach_pct,road_density_reach,veg_cover_reach_pct,veg_height_reach_m
thermal_sensitivity,NA,3.9968028886505635e-15,0.00499454453155157,0.48714852070941683,9.368162467993102e-9,0.07440160850947475,0.0027954624735708755,4.01706659047818e-8,1.7182120370939913e-7,0.7656080600722568,1.0380762249795339e-7,3.424720063094355e-8
mean_stream_temp_c,3.9968028886505635e-15,NA,3.029102702001296e-8,0.9805897549982834,6.824318887765912e-12,0.0010458404691229273,8.818300345452279e-4,2.6804949371239672e-9,1.4832579608992091e-12,0.02056868758995689,4.867217739956686e-13,1.7567725052458627e-11
mean_air_temp_c,0.00499454453155157,3.029102702001296e-8,NA,0.11465030783727692,1.756228074079047e-8,9.005527729679663e-4,0.0668631851765844,0.04854454459820645,2.9425843983688083e-8,1.027621185811789e-5,1.4359401501184976e-6,3.544462497728773e-6
burned_reach_pct,0.48714852070941683,0.9805897549982834,0.11465030783727692,NA,0.005101709579182323,0.1808219652335663,0.7556086144835661,0.7342114030325546,0.025483766155853793,0.27076687599555727,0.9341125090416611,0.1739317453031508
agricultural_reach_pct,9.368162467993102e-9,6.824318887765912e-12,1.756228074079047e-8,0.005101709579182323,NA,4.719557023413756e-6,8.676307450272702e-9,1.631090650269229e-4,0,0.08453266439306928,4.884981308350689e-15,0
wetlands_reach_pct,0.07440160850947475,0.0010458404691229273,9.005527729679663e-4,0.1808219652335663,4.719557023413756e-6,NA,1.1258989774853845e-4,0.3750044617842403,1.5400562825007569e-6,4.408427599731368e-4,7.436138960104088e-5,2.4513872232567735e-5
lakes_reach_pct,0.0027954624735708755,8.818300345452279e-4,0.0668631851765844,0.7556086144835661,8.676307450272702e-9,1.1258989774853845e-4,NA,0.001510450047554901,7.325253736922832e-10,0.5546517557075452,2.6074674642195816e-4,1.1152263629021775e-4
high_cascades_reach_pct,4.01706659047818e-8,2.6804949371239672e-9,0.04854454459820645,0.7342114030325546,1.631090650269229e-4,0.3750044617842403,0.001510450047554901,NA,1.0922956529979544e-4,0.8477930906296276,8.944872425420414e-6,1.9085517926065165e-6
developed_reach_pct,1.7182120370939913e-7,1.4832579608992091e-12,2.9425843983688083e-8,0.025483766155853793,0,1.5400562825007569e-6,7.325253736922832e-10,1.0922956529979544e-4,NA,0.010613374655890295,3.219646771412954e-14,0
road_density_reach,0.7656080600722568,0.02056868758995689,1.027621185811789e-5,0.27076687599555727,0.08453266439306928,4.408427599731368e-4,0.5546517557075452,0.8477930906296276,0.010613374655890295,NA,0.0036306347290357976,0.014049519139028632
veg_cover_reach_pct,1.0380762249795339e-7,4.867217739956686e-13,1.4359401501184976e-6,0.9341125090416611,4.884981308350689e-15,7.436138960104088e-5,2.6074674642195816e-4,8.944872425420414e-6,3.219646771412954e-14,0.0036306347290357976,NA,0
veg_height_reach_m,3.424720063094355e-8,1.7567725052458627e-11,3.544462497728773e-6,0.1739317453031508,0,2.4513872232567735e-5,1.1152263629021775e-4,1.9085517926065165e-6,0,0.014049519139028632,0,NA
