Variable,thermal_sensitivity,mean_stream_temp_c,mean_air_temp_c,burned_reach_pct,agricultural_reach_pct,wetlands_reach_pct,lakes_reach_pct,high_cascades_reach_pct,developed_reach_pct,road_density_reach,veg_cover_reach_pct,veg_height_reach_m
thermal_sensitivity,1,0.7668164685783848,0.32741178814206023,-0.08320302557454584,0.61451324597154,0.21157795842117938,0.3473413764039266,-0.5931309100756962,0.57011428269670406,-0.03574874588454781,-0.5782973678359032,-0.5955520554419298
mean_stream_temp_c,0.7668164685783848,1,0.5974015254944701,0.0029183330414360486,0.7013566543568445,0.3784511316412988,0.3835502288690935,-0.6316975957159455,0.7164513696063897,0.27250287759785385,-0.7268868091164362,-0.6915104933024339
mean_air_temp_c,0.32741178814206023,0.5974015254944701,1,-0.18755404526171407,0.6054756825618729,0.38292658420644426,0.21718833744661417,-0.23333359738962745,0.597836429334206,0.494134121594718,-0.5329981848935607,-0.5157468132595002
burned_reach_pct,-0.08320302557454584,0.0029183330414360486,-0.18755404526171407,1,-0.32665780368992525,-0.1594914202737137,-0.037321873246828105,-0.04070973949405593,-0.2632233433761234,-0.13152634104120386,-0.009916277665657914,0.1620142111480526
agricultural_reach_pct,0.61451324597154,0.7013566543568445,0.6054756825618729,-0.32665780368992525,1,0.5100765806341828,0.6155973493060729,-0.43004768499222235,0.8904792804976606,0.20471359171138254,-0.7654607634970894,-0.8303282238271374
wetlands_reach_pct,0.21157795842117938,0.3784511316412988,0.38292658420644426,-0.1594914202737137,0.5100765806341828,1,0.4394182034428412,-0.10611176497125892,0.5316951656110848,0.40347526785764976,-0.4495913808127736,-0.47532380949719066
lakes_reach_pct,0.3473413764039266,0.3835502288690935,0.21718833744661417,-0.037321873246828105,0.6155973493060729,0.4394182034428412,1,-0.3671760535056015,0.6484610560202103,0.07077823141592639,-0.41778307650836655,-0.4396554260122088
high_cascades_reach_pct,-0.5931309100756962,-0.6316975957159455,-0.23333359738962745,-0.04070973949405593,-0.43004768499222235,-0.10611176497125892,-0.3671760535056015,1,-0.44017227988348057,-0.023019645359873307,0.49703615805090007,0.5276676142312637
developed_reach_pct,0.57011428269670406,0.7164513696063897,0.597836429334206,-0.2632233433761234,0.8904792804976606,0.5316951656110848,0.6484610560202103,-0.44017227988348057,1,0.2994276372746076,-0.7504649238610943,-0.7982083935044231
road_density_reach,-0.03574874588454781,0.27250287759785385,0.494134121594718,-0.13152634104120386,0.20471359171138254,0.40347526785764976,0.07077823141592639,-0.023019645359873307,0.2994276372746076,1,-0.3385226525175485,-0.28831277455851073
veg_cover_reach_pct,-0.5782973678359032,-0.7268868091164362,-0.5329981848935607,-0.009916277665657914,-0.7654607634970894,-0.4495913808127736,-0.41778307650836655,0.49703615805090007,-0.7504649238610943,-0.3385226525175485,1,0.9420723372091153
veg_height_reach_m,-0.5955520554419298,-0.6915104933024339,-0.5157468132595002,0.1620142111480526,-0.8303282238271374,-0.47532380949719066,-0.4396554260122088,0.5276676142312637,-0.7982083935044231,-0.28831277455851073,0.9420723372091153,1
