Model.Name,Landscape.Covariates,Estimate,Standardized.Coefficient,Std.Error,t.Value,p.Value,Significance,Correlation.w..thermal.sensitivity,R.Squared,Adjusted.R.Squared,F.statistic,F.p.Value,Number.of.Significant.Covariates,Total.Number.of.Covariates
model_vif_filtered,channel_slope,-1.1520058052805,-0.21857549490703376,0.4427959068834382,-2.6016631756800646,0.011847324002381174,*,-0.28205644578558814,0.6917679745996299,0.6092058249388166,8.378754398251393,1.5047417961291406e-9,3,15
model_vif_filtered,lakes_upstream_pct,-6.743129738104151,-0.1473144949022957,4.7660157925490285,-1.41483579400766,0.1626533379332614,,-0.15386186555194964,0.6917679745996299,0.6092058249388166,8.378754398251393,1.5047417961291406e-9,3,15
model_vif_filtered,road_density_upstream,-0.013074874775354779,-0.07235910120438732,0.01883321378377598,-0.6942455454213678,0.49039841752072466,,-0.025284195983681253,0.6917679745996299,0.6092058249388166,8.378754398251393,1.5047417961291406e-9,3,15
model_vif_filtered,high_cascades_upstream_pct,-0.4332190627312024,-0.7242428027420855,0.07239801442131921,-5.983852819637984,1.614877266884208e-7,***,-0.7781816949824829,0.6917679745996299,0.6092058249388166,8.378754398251393,1.5047417961291406e-9,3,15
model_vif_filtered,wetlands_upstream_pct,6.834331261572572,0.20497006039919075,4.275971688852145,1.598310690267269,0.11560160498568749,,0.23553679911380548,0.6917679745996299,0.6092058249388166,8.378754398251393,1.5047417961291406e-9,3,15
model_vif_filtered,shrub_upstream_pct,0.14542982871523039,0.21622539416014874,0.06518747464022243,2.2309474253738966,0.029707151918108198,*,0.01767321448277069,0.6917679745996299,0.6092058249388166,8.378754398251393,1.5047417961291406e-9,3,15
model_vif_filtered,upstream_area_km2,-2.011554911639073e-5,-0.07714905916901173,2.476575167817997e-5,-0.8122325289287976,0.4200976389328279,,-0.004405605090907665,0.6917679745996299,0.6092058249388166,8.378754398251393,1.5047417961291406e-9,3,15
model_vif_filtered,burned_reach_pct,-0.13448817017105522,-0.14871490218961497,0.08550352018977933,-1.572896295644343,0.12137623469789309,,-0.08320302557454584,0.6917679745996299,0.6092058249388166,8.378754398251393,1.5047417961291406e-9,3,15
model_vif_filtered,wetlands_reach_pct,-0.37370989707996943,-0.19927637778609045,0.28348450885504206,-1.3182727288673948,0.19277910134947787,,0.21157795842117938,0.6917679745996299,0.6092058249388166,8.378754398251393,1.5047417961291406e-9,3,15
model_vif_filtered,high_cascades_reach_pct,0.1646621328663204,0.20094665316589894,0.1512596742815483,1.0886056290179849,0.28099065950980007,,-0.5931309100756962,0.6917679745996299,0.6092058249388166,8.378754398251393,1.5047417961291406e-9,3,15
model_vif_filtered,road_density_reach,0.004870317329447844,0.04795588243268148,0.0133725367296816,0.3642029502628112,0.7170780615122587,,-0.03574874588454781,0.6917679745996299,0.6092058249388166,8.378754398251393,1.5047417961291406e-9,3,15
model_vif_filtered,agricultural_buffer_pct,0.015272805011731137,0.010424437780094256,0.14887958502696383,0.10258495151611992,0.9186588565171447,,0.4787381489022917,0.6917679745996299,0.6092058249388166,8.378754398251393,1.5047417961291406e-9,3,15
model_vif_filtered,wetlands_buffer_pct,0.13787100064634158,0.13088946912887578,0.1531905258562147,0.8999969147945083,0.3719759334432098,,0.140769789496879,0.6917679745996299,0.6092058249388166,8.378754398251393,1.5047417961291406e-9,3,15
model_vif_filtered,high_cascades_buffer_pct,-0.1676237403671326,-0.12923782016389107,0.1973796684871458,-0.8492452219213701,0.3993608259398067,,-0.4794946192899239,0.6917679745996299,0.6092058249388166,8.378754398251393,1.5047417961291406e-9,3,15
model_vif_filtered,road_density_buffer,-0.0011757210145081254,-0.016421853257434844,0.00722356420590438,-0.16276189717357495,0.8712918289696863,,-0.009203320674332972,0.6917679745996299,0.6092058249388166,8.378754398251393,1.5047417961291406e-9,3,15
