Model.Name,Landscape.Covariates,Estimate,Standardized.Coefficient,Std.Error,t.Value,p.Value,Significance,Correlation.w..thermal.sensitivity,R.Squared,Adjusted.R.Squared,F.statistic,F.p.Value,Number.of.Significant.Covariates,Total.Number.of.Covariates
model_corr_filtered,channel_slope,-1.0146741668571964,-0.1925189154200419,0.4089361282625546,-2.481253420108022,0.0159118878277965,*,-0.28205644578558814,0.6685416556382302,0.6077742925052391,11.001656500630236,9.03439296180377e-11,3,11
model_corr_filtered,lakes_upstream_pct,-7.003301862089386,-0.15299837264469818,4.447531779359957,-1.574649088420281,0.12059613070477965,,-0.15386186555194964,0.6685416556382302,0.6077742925052391,11.001656500630236,9.03439296180377e-11,3,11
model_corr_filtered,road_density_upstream,-0.011084767202290262,-0.06134542820474778,0.016489217095926746,-0.6722433901988275,0.5040093449731302,,-0.025284195983681253,0.6685416556382302,0.6077742925052391,11.001656500630236,9.03439296180377e-11,3,11
model_corr_filtered,high_cascades_upstream_pct,-0.39996884513487124,-0.668656073404894,0.061468938281827694,-6.506844860424661,1.7241412620294077e-8,***,-0.7781816949824829,0.6685416556382302,0.6077742925052391,11.001656500630236,9.03439296180377e-11,3,11
model_corr_filtered,wetlands_upstream_pct,8.070350428056646,0.24203980629127136,4.183524777935126,1.9290791512988124,0.05845476644796087,.,0.23553679911380548,0.6685416556382302,0.6077742925052391,11.001656500630236,9.03439296180377e-11,3,11
model_corr_filtered,shrub_upstream_pct,0.15725413326572016,0.2338057965761184,0.06413491802820095,2.451926939340181,0.017136846210653967,*,0.01767321448277069,0.6685416556382302,0.6077742925052391,11.001656500630236,9.03439296180377e-11,3,11
model_corr_filtered,burned_reach_pct,-0.15858070745274316,-0.17535605078126262,0.08303512142529991,-1.909802800678814,0.06094252159840759,.,-0.08320302557454584,0.6685416556382302,0.6077742925052391,11.001656500630236,9.03439296180377e-11,3,11
model_corr_filtered,agricultural_buffer_pct,0.0034700716294769653,0.0023684939188425304,0.14873782410798506,0.02333012231614778,0.9814643616108358,,0.4787381489022917,0.6685416556382302,0.6077742925052391,11.001656500630236,9.03439296180377e-11,3,11
model_corr_filtered,wetlands_buffer_pct,-0.02557717320746162,-0.02428199263984083,0.08453365293008117,-0.30256793976023744,0.7632656172562824,,0.140769789496879,0.6685416556382302,0.6077742925052391,11.001656500630236,9.03439296180377e-11,3,11
model_corr_filtered,high_cascades_buffer_pct,0.0282275570240284,0.02176343237746215,0.1164177061836672,0.24246790242967853,0.8092445440999185,,-0.4794946192899239,0.6685416556382302,0.6077742925052391,11.001656500630236,9.03439296180377e-11,3,11
model_corr_filtered,road_density_buffer,-0.0022428639483997805,-0.03132714494553891,0.005703532800453334,-0.3932411764549703,0.6955351917023505,,-0.009203320674332972,0.6685416556382302,0.6077742925052391,11.001656500630236,9.03439296180377e-11,3,11
