Model.Name,Landscape.Covariates,Estimate,Standardized.Coefficient,Std.Error,t.Value,p.Value,Significance,Correlation.w..thermal.sensitivity,R.Squared,Adjusted.R.Squared,F.statistic,F.p.Value,Number.of.Significant.Covariates,Total.Number.of.Covariates
model_all_candidates,channel_slope,0.014946995023208131,0.0028359638637195927,0.5770042852930637,0.025904478362091313,0.9794944013931958,,-0.28205644578558814,0.903291593726571,0.7854282235808293,7.663887368990252,3.023002579547457e-8,5,39
model_all_candidates,elevation_m,1.509511145355252e-4,0.29947970010870245,2.797266442052888e-4,0.5396379560637905,0.5931823152766986,,-0.6888688794659481,0.903291593726571,0.7854282235808293,7.663887368990252,3.023002579547457e-8,5,39
model_all_candidates,base_flow_index,-0.0077663006162736045,-0.5336678082766945,0.00832920824732885,-0.9324176303028842,0.35810295896892463,,-0.7724074770534384,0.903291593726571,0.7854282235808293,7.663887368990252,3.023002579547457e-8,5,39
model_all_candidates,summer_mean_max_air_temp_c,0.17022536806985655,1.8662018847162607,0.11557161399605573,1.472899461935922,0.1505470031158284,,0.20534221151587537,0.903291593726571,0.7854282235808293,7.663887368990252,3.023002579547457e-8,5,39
model_all_candidates,summer_max_air_temp_c,-0.14972087188283623,-1.6784991317436724,0.08681014211851838,-1.7246933161153954,0.09423100754831282,.,-0.07225331320705052,0.903291593726571,0.7854282235808293,7.663887368990252,3.023002579547457e-8,5,39
model_all_candidates,annual_precip_mm,5.343731958896696e-4,1.0821527014048462,0.0014482005149549888,0.36899116549912175,0.7145646211176944,,-0.4891129581999647,0.903291593726571,0.7854282235808293,7.663887368990252,3.023002579547457e-8,5,39
model_all_candidates,summer_precip_mm,-8.526916941315889e-4,-0.14164675312101058,0.002630128351825201,-0.3242015521941566,0.7478951410298167,,0.4344204324449728,0.903291593726571,0.7854282235808293,7.663887368990252,3.023002579547457e-8,5,39
model_all_candidates,summer_mean_air_temp_c,-0.002705045164373183,-0.024767545452213765,0.0795322056618115,-0.03401194700767677,0.9730788976317992,,0.3893606096971082,0.903291593726571,0.7854282235808293,7.663887368990252,3.023002579547457e-8,5,39
model_all_candidates,wet_season_precip_mm,-4.1926373034677607e-4,-0.7413409512193511,0.0016869055377746471,-0.24854013515176765,0.8053047083985851,,-0.4988903929718069,0.903291593726571,0.7854282235808293,7.663887368990252,3.023002579547457e-8,5,39
model_all_candidates,developed_upstream_pct,-0.29877018999369653,-0.16950530502472647,0.42740583057334064,-0.6990316196503761,0.4895822729827254,,0.6787821641145126,0.903291593726571,0.7854282235808293,7.663887368990252,3.023002579547457e-8,5,39
model_all_candidates,lakes_upstream_pct,-6.481922645218223,-0.14160800660266434,6.845262286660623,-0.94692100518187,0.3507752664402072,,-0.15386186555194964,0.903291593726571,0.7854282235808293,7.663887368990252,3.023002579547457e-8,5,39
model_all_candidates,agricultural_upstream_pct,0.38205430010859714,0.40243126668798834,0.2974704069193299,1.2843438917680483,0.20824239353992072,,0.649228091817847,0.903291593726571,0.7854282235808293,7.663887368990252,3.023002579547457e-8,5,39
model_all_candidates,burned_upstream_pct,-0.41137133541781523,-0.3976823429989804,0.26617729601117446,-1.5454786774922582,0.13206395050461978,,-0.24352306143016214,0.903291593726571,0.7854282235808293,7.663887368990252,3.023002579547457e-8,5,39
model_all_candidates,road_density_upstream,-0.016351485529224146,-0.09049255282210532,0.03784612485017569,-0.4320517779285464,0.6686012479211452,,-0.025284195983681253,0.903291593726571,0.7854282235808293,7.663887368990252,3.023002579547457e-8,5,39
model_all_candidates,high_cascades_upstream_pct,-0.2312739276539627,-0.3866369049166318,0.09906681288403746,-2.3345247608266164,0.02600496453509624,*,-0.7781816949824829,0.903291593726571,0.7854282235808293,7.663887368990252,3.023002579547457e-8,5,39
model_all_candidates,wetlands_upstream_pct,-5.00924529711659,-0.150233471543505,6.978363221206327,-0.7178252461686364,0.47807315621044744,,0.23553679911380548,0.903291593726571,0.7854282235808293,7.663887368990252,3.023002579547457e-8,5,39
model_all_candidates,veg_cover_upstream_pct,-0.014919063073134571,-1.6051397310766622,0.006754139325948043,-2.2088770090688734,0.034463315795487365,*,-0.4855812910416477,0.903291593726571,0.7854282235808293,7.663887368990252,3.023002579547457e-8,5,39
model_all_candidates,veg_height_upstream_m,0.037051637181498294,1.47813029726276,0.01887599834139175,1.9628968233298982,0.05840054023212719,.,-0.6586379610906958,0.903291593726571,0.7854282235808293,7.663887368990252,3.023002579547457e-8,5,39
