index,site,x,y,thermalSensitivity,intercept,rSquared,adjRSquared,rmse,meanStreamTemp,meanAirTemp,sdStreamTemp,sdAirTemp,minStreamTemp,maxStreamTemp,minAirTemp,maxAirTemp,rangeStreamTemp,rangeAirTemp,Stream_Nam,GPS_lat_,GPS_long_,GRIDCODE,Max7DADM,SLOPE,Solar,Elev,BFI,h2oDevelop,h2oLakesPe,h2oAgricul,h2oBurnPer,h2oRdDens,h2oHiCascP,h2oWetland,h2oVegCov,h2oVegHt,Forest21,Shrub21,h2oKm2,BurnRCA,AgricultRC,WetlandsRC,LakesRCA,HiCascRCA,DevelopRCA,RoadsRCA,VegCover,VegHeight_,DevelopBuf,AgBuf,BurnBuf,WetlandBuf,LakesBuf,HiCascBuf,RoadsBuf,VegHtBuf,VegCovBuf,MeanMaxAir,MaxAir_C,Precip_mm,SumPrecip,MeanAirJJA,WetPrecip
34,20739662,-122.36735,45.2515,0.47,8.312,0.785,0.781,0.753,17.533,19.624,1.611,3.037,13.776,20.65,12.165,27.769,6.874,15.604,CLEAR CREEK,45.2515,-122.3674,479207,22.6229,0.0085,-0.0628,168.52,53.39,0.022,0.0014,0.0909,0.0719,0.9938,0,0.0053,46.0522,16.5736,0.4644,0.3805,90.0884,0,0.2853,0.0045,0.0018,0,0.0427,1.1347,37.5344,13.9893,0,0.0108,0,0.0156,0.0018,0,0.0584,21.2231,55.8061,25.5602,27.3729,1319.3261,159.3337,18.1881,1031.0062
35,10944386,-122.24727,45.237,0.363,9.952,0.738,0.733,0.714,16.613,18.373,1.383,3.275,13.903,19.371,11.041,26.235,5.468,15.194,NORTH FORK CLACKAMAS RIVER,45.237,-122.2473,480093,20.5403,0.0343,0.0152,205.277,55.77,8e-4,6e-4,0,5e-4,1.4872,0,0.002,61.2381,20.2377,0.8724,0.1126,82.4145,6e-4,0,0,0.014,0,0.0206,1.0189,52.7243,21.5584,0.0104,0,0,0,0.125,0,0.3419,23.4293,61.4543,23.8295,25.3258,1334.7888,157.8476,17.2365,1061.9723
36,20012624,-122.22673,45.20545,0.254,11.572,0.537,0.529,0.903,16.248,18.399,1.316,3.794,13.513,17.955,10.452,27.267,4.442,16.814,CLACKAMAS RIVER,45.2054,-122.2267,479404,20.2904,0,-0.0938,206.372,57.8,0,0.0057,0,0.1243,1.2948,0.232,0.0071,59.0977,22.3373,0.7621,0.2203,1633.3186,0.1811,0.0018,0,0.0501,0,0.0239,1.3709,44.3068,22.4011,0.0014,0,0.012,0,0.5013,0,0.0028,13.3688,28.4443,23.5194,25.3273,1430.2279,167.0089,17.2324,1139.4658
37,20739661,-122.33047,45.20433,0.397,9.146,0.725,0.72,0.771,16.404,18.301,1.458,3.13,13.329,19.094,10.944,26.116,5.765,15.171,CLEAR CREEK,45.2043,-122.3305,479480,22.0186,0.0265,-0.0261,264.852,54.67,0.0043,7e-4,0,0.1432,0.8966,0,0.0039,52.6017,18.1192,0.3763,0.6136,37.3053,0.3077,0,2e-4,0,0,0.0089,0.292,48.2686,20.6038,0,0,0.0667,0.0021,0,0,0,25.6952,52.8672,23.8059,25.7027,1349.5151,167.8023,17.0914,1062.3016
38,20941702,-122.22375,45.19813,0.395,9.642,0.77,0.767,0.825,16.914,18.399,1.708,3.794,13.603,20.376,10.452,27.267,6.773,16.814,SOUTH FORK CLACKAMAS RIVER,45.1981,-122.2238,479088,21.7147,0.012,-0.0348,208.398,59.37,0,0.0059,0,0.1096,1.2704,0.2428,0.0074,59.9144,22.6532,0.7155,0.7155,1560.7704,0.028,0,0,0,0,0,2.0862,31.3415,17.9867,0,0,0,0,0,0,4.5514,14.8591,26.9627,23.3513,25.2246,1508.3497,170.3414,17.1097,1207.6884
39,20739664,-122.33108,45.19,0.316,7.692,0.768,0.765,0.547,13.469,18.301,1.127,3.13,11.2,15.985,10.944,26.116,4.785,15.171,LITTLE CLEAR CREEK,45.19,-122.3311,480109,17.0529,0.0884,-0.3277,381.04,56.62,0,7e-4,4e-4,0.0356,0.6315,0,0.0041,55.7002,18.3322,0.5792,0.165,9.1843,0.0356,4e-4,0.0041,7e-4,0,0,0.6315,55.7002,18.3322,0,0,0,0.0274,0.001,0,0.2918,20.5085,60.838,22.939,24.942,1555.0797,186.2834,16.6721,1234.9114
40,USGS 1,-122.155,45.16722,0.217,11.089,0.504,0.496,0.85,15.179,18.837,1.197,3.913,12.706,16.75,10.691,27.828,4.044,17.136,CLACKAMAS RIVER,45.1672,-122.155,479284,19.0429,0,-0.0151,270.416,63.98,0,0.006,0,0.1081,1.2627,0.2464,0.0075,60.2599,22.7326,0.7967,0.189,1537.7906,0.5699,0,0,0,0,0,1.3246,28.5645,13.9095,0,0,0.1802,0.0015,0,0,3.6345,20.0291,39.4679,24.1792,26.2285,1642.7776,169.5956,17.5135,1317.3896
41,20054509,-122.11617,45.15943,0.187,9.891,0.691,0.686,0.497,13.432,18.977,0.886,3.948,11.618,15.062,10.739,27.859,3.444,17.12,ROARING RIVER,45.1594,-122.1162,479836,16.52,0.0461,0.3749,302.61,68.39,0,0.0033,0,0.0109,0.4393,0,0.0085,70.1778,23.8907,0.9171,0.0759,110.323,0.2636,0,0.0013,0.0015,0,0,1.1768,60.3031,26.0908,0,0,0.1896,0,0,0,1.1846,30.7705,58.4846,24.4954,26.6751,1611.0178,157.5453,17.6182,1315.7839
42,20151803,-122.11713,45.15913,0.188,9.976,0.693,0.688,0.498,13.545,18.977,0.892,3.948,11.725,15.206,10.739,27.859,3.481,17.12,ROARING RIVER,45.1591,-122.1171,479836,16.7533,0.0461,0.3749,302.61,68.39,0,0.0033,0,0.0112,0.44,0,0.0085,70.1678,23.8929,0.9171,0.0759,110.4347,0.2636,0,0.0013,0.0015,0,0,1.1768,60.3031,26.0908,0,0,0.1896,0,0,0,1.1846,30.7705,58.4846,24.4954,26.6751,1611.0178,157.5453,17.6182,1315.7839
43,20860458,-122.15219,45.1572,0.368,12.265,0.78,0.777,0.771,19.2,18.837,1.631,3.913,15.903,22.292,10.691,27.828,6.389,17.136,FISH CREEK,45.1572,-122.1522,479126,24.237,0,-0.3422,270.626,63,0,3e-4,0,0.5683,0.4672,0,4e-4,38.4126,14.5311,0.2024,0.7964,120.6228,0,0,0.1199,0,0,0,4.5324,38.6364,21.0303,0,0,0,0.0925,0,0,7.3437,21.0832,37.4692,24.1474,26.1857,1646.0836,170.6694,17.5019,1317.9161
44,20860456,-122.15329,45.15071,0.36,12.237,0.782,0.778,0.752,19.024,18.837,1.595,3.913,15.786,22.014,10.691,27.828,6.228,17.136,FISH CREEK,45.1507,-122.1533,479419,24.0576,0.0128,-0.0652,299.405,63.25,0,3e-4,0,0.5723,0.4021,0,3e-4,38.1517,14.3908,0.199,0.7844,117.4504,0.5865,0,8e-4,0,0,0,2.0047,33.1773,16.2359,0,0,0.3382,0.0102,0,0,1.8644,18.5408,34.6277,24.1131,26.2248,1718.3229,169.5066,17.4167,1387.2763
45,USGS 4,-122.15194,45.14778,0.354,12.249,0.778,0.774,0.746,18.915,18.837,1.57,3.913,15.723,21.88,10.691,27.828,6.157,17.136,FISH CREEK,45.1478,-122.1519,479419,24.0143,0.0128,-0.0652,299.405,63.25,0,3e-4,0,0.5723,0.3931,0,3e-4,38.1796,14.3804,0.199,0.7844,116.7952,0.5865,0,8e-4,0,0,0,2.0047,33.1773,16.2359,0,0,0.3382,0.0102,0,0,1.8644,18.5408,34.6277,24.1131,26.2248,1718.3229,169.5066,17.4167,1387.2763
46,10933321,-122.07464,45.11489,0.185,10.538,0.448,0.439,0.814,14.125,19.359,1.086,3.922,11.869,16.027,10.714,28.15,4.158,17.436,CLACKAMAS RIVER,45.1149,-122.0746,479903,17.4083,0,-0.0964,346.17,72,0,0.0069,0,0.0583,1.407,0.3043,0.0083,62.094,23.5467,0.8647,0.1203,1245.2693,0.6734,0,0,0,0,0,2.5971,28.2237,14.586,0,0,0.132,0,0,0,8.9489,10.4509,26.8159,24.9532,27.2078,1578.9104,143.9126,17.8888,1315.8477
47,10598081,-122.16504,45.06711,0.289,10.299,0.771,0.767,0.653,15.763,18.885,1.353,4.106,13.214,18.672,10.587,28.167,5.458,17.58,CALICO CREEK,45.0671,-122.165,480482,20.5197,0.1891,0.2343,542.627,66,0,0,0,0.5025,0,0,0,46.7902,17.4712,0.0517,0.9134,4.3419,0.5025,0,0,0,0,0,0,46.7902,17.4712,0,0,0.3997,0,0,0,0,24.2919,55.052,23.7166,26.0932,1924.9463,173.26,16.8322,1568.2133
48,10933352,-122.06293,45.04517,0.21,10.87,0.495,0.486,0.808,14.967,19.555,1.127,3.785,12.52,16.996,11.615,27.833,4.476,16.217,CLACKAMAS RIVER,45.0452,-122.0629,479708,19.338,0.0066,-0.1477,437.777,69.18,0,0.0025,0,0.0599,1.1099,0.2226,0.0047,62.3589,23.6211,0.8713,0.1106,822.3975,0.0703,0,0.0161,2e-4,0,0,2.5402,62.7509,26.9826,0,0,0.0719,0.0114,0,0,2.0277,21.3355,40.5721,25.6577,28.1873,1591.7757,137.1524,18.1297,1296.3362
49,10933332,-122.06182,45.03072,0.363,10.938,0.721,0.716,0.839,18.155,19.887,1.575,3.685,14.672,20.812,11.954,27.933,6.14,15.979,COLLAWASH RIVER,45.0307,-122.0618,479722,24.4401,0.0042,0.0193,445.28,67.49,0,0.0023,0,0.0454,0.9936,0.0121,0.0038,64.0681,23.7228,0.9118,0.0844,394.3782,0.124,0,0,0,0,0,2.27,62.5308,24.8616,0,0,0,0,0,0,4.7759,21.7528,49.3035,25.5771,28.1535,1620.8886,140.3165,18.0108,1319.177
50,20151806,-122.06197,45.0306,0.367,10.981,0.728,0.724,0.832,18.271,19.887,1.583,3.685,14.859,21.061,11.954,27.933,6.202,15.979,COLLAWASH RIVER,45.0306,-122.062,479722,25.3197,0.0042,0.0193,445.28,67.49,0,0.0023,0,0.0454,0.9936,0.0122,0.0038,64.0682,23.7227,0.9118,0.0844,394.3549,0.124,0,0,0,0,0,2.27,62.5308,24.8616,0,0,0,0,0,0,4.7759,21.7528,49.3035,25.5771,28.1535,1620.8886,140.3165,18.0108,1319.177
51,20054494,-121.97869,45.02215,0.14,8.911,0.467,0.458,0.623,11.474,18.323,0.846,4.133,9.624,13.189,9.587,26.573,3.565,16.986,CLACKAMAS RIVER,45.0222,-121.9787,479756,15.3111,0.0181,-0.1229,560.35,73,0,0.0031,0,0.0616,1.1605,0.469,0.006,60.7793,23.7105,0.867,0.1149,379.9153,0,0,0,0,0.0395,0,1.7828,66.4686,22.7021,0,0,0,1e-4,0,0,5.0937,16.0592,43.2909,24.236,27.4645,1634.4933,140.9338,16.604,1303.8528
52,20054510,-121.92119,45.0167,0.11,8.819,0.515,0.507,0.423,10.923,19.064,0.603,3.918,9.595,12.111,10.706,26.592,2.516,15.886,CLACKAMAS RIVER,45.0167,-121.9212,479813,13.964,0.0519,0.4039,627.359,75,0,0,0,0,1.2403,0.346,0.0063,71.5675,23.9304,0.8645,0.1206,5.8812,0,0,0,0,0,0,5.0448,52.4286,19.7619,0,0,0,0.0236,0,0,8.1257,24.9102,60.4779,25.2845,28.4825,1607.7004,131.6853,17.3165,1284.3475
53,20054506,-121.88785,44.99447,0.103,8.161,0.462,0.453,0.447,10.149,19.328,0.604,3.993,8.832,11.444,10.845,26.846,2.612,16.001,CLACKAMAS RIVER,44.9945,-121.8878,479830,13.3047,0.0045,0.2068,651.458,74.51,0,0.0037,0,0.0736,1.0806,0.5016,0.0059,59.5111,23.8265,0.8507,0.135,318.0764,0,0,0.1477,0,0,0,1.6236,54.943,20.1969,0,0,0,0.2901,0,0,1.354,18.6381,46.1595,25.4271,28.6862,1572.3895,127.7391,17.5447,1261.9425
54,10361311,-122.06679,44.98516,0.293,12.286,0.67,0.664,0.806,18.02,19.57,1.391,3.885,14.832,19.871,11.327,27.713,5.039,16.386,HOT SPRINGS FORK COLLAWASH RIVER,44.9852,-122.0668,479841,21.1871,0.0587,-0.0236,493.961,68,0,8e-4,0,0.0065,1.2082,0,0.0031,65.6631,23.9306,0.9533,0.0441,157.9954,0,0,0,0,0,0,1.5763,58.9892,25.6505,0,0,0,0,0,0,2.1326,21.7364,51.1526,25.6523,28.5373,1757.9458,155.9001,17.8408,1421.5875
55,20054497,-121.88334,44.98289,0.181,8.359,0.578,0.571,0.623,11.863,19.328,0.952,3.993,9.804,13.62,10.845,26.846,3.816,16.001,CLACKAMAS RIVER,44.9829,-121.8833,479787,16.2824,0.0237,-0.1715,662.878,74,0,0.0048,0,0.0956,1.0371,0.5108,0.0069,57.7687,23.5955,0.8122,0.1742,244.9558,0,0,0.2429,0,0.1019,0,3.5745,64.1486,25.78,0,0,0,0.8801,0,0,0,19.9438,48.7088,25.4271,28.6862,1572.3895,127.7391,17.5447,1261.9425
56,20054501,-121.88249,44.9828,0.04,6.536,0.518,0.51,0.155,7.307,19.328,0.221,3.993,6.819,7.73,10.845,26.846,0.911,16.001,PINHEAD CREEK,44.9828,-121.8825,479805,9.2444,0.0358,-0.35,662.707,74.21,0,0,0,0,1.227,0.4888,8e-4,65.1861,24.6022,0.9803,0.0038,70.4473,0,0,0.5769,0,0.1429,0,7.6881,43,15.3649,0,0,0,0.6523,0,0.0396,3.5903,15.236,41.7383,25.4271,28.6862,1572.3895,127.7391,17.5447,1261.9425
57,10933349,-121.8785,44.9751,0.036,6.418,0.545,0.537,0.125,7.118,19.528,0.184,3.789,6.719,7.458,12.058,26.747,0.739,14.69,PINHEAD CREEK,44.9751,-121.8785,480121,8.8023,0.0254,-0.0125,691.726,74,0,0,0,0,1.2359,0.5032,8e-4,65.0035,24.5764,0.9733,0.0035,68.2032,0,0,0,0,0.2117,0,1.3771,68.5797,28.0898,0,0,0,0.036,0,0.2146,4.5842,25.8567,63.6029,25.7677,29.0965,1557.8642,125.178,17.6584,1261.3562
58,10933344,-121.85592,44.97142,0.05,6.56,0.746,0.742,0.112,7.543,19.528,0.221,3.789,7.068,7.907,12.058,26.747,0.839,14.69,LAST CREEK,44.9714,-121.8559,479905,8.5824,0.0433,0.4008,774.129,74.23,0,0,0,0,1.2819,0.307,9e-4,65.1125,24.2347,0.9421,0.0053,34.0827,0,0,0,0,0,0,0,64.5687,24.3634,0,0,0,0,0,0,0,22.8491,64.2948,25.818,29.1575,1555.7077,124.7925,17.674,1261.2998
59,20054518,-121.87606,44.97084,0.044,6.494,0.72,0.715,0.104,7.348,19.528,0.195,3.789,6.895,7.686,12.058,26.747,0.791,14.69,LAST CREEK,44.9708,-121.8761,479862,8.3016,0.0403,0.3561,709.914,74,0,0,0,0,1.2832,0.2602,8e-4,65.1233,24.2597,0.9751,0.0053,40.2069,0,0,0,0,0,0,2.3573,55.7794,21.4412,0,0,0,0,0,0,2.3835,20.7047,55.3537,25.8713,29.2213,1553.4283,124.3989,17.6907,1261.1715
60,10332826,-121.87671,44.97007,0.03,6.328,0.502,0.494,0.114,6.916,19.528,0.161,3.789,6.567,7.226,12.058,26.747,0.659,14.69,PINHEAD CREEK,44.9701,-121.8767,479967,12.1733,0.0338,-0.2718,699.179,73.95,0,0,0,0,1.1569,0.8654,7e-4,64.7758,24.9927,0.9829,8e-4,27.4861,0,0,0,0,0.0202,0,2.3288,68.1052,26.2301,0,0,0,0,0,0,0.8584,26.5824,69.3652,25.8543,29.2053,1554.1205,124.4461,17.6823,1261.8572
61,20054489,-121.86913,44.94767,0.005,6.202,0.598,0.591,0.015,6.297,19.528,0.024,3.789,6.243,6.337,12.058,26.747,0.094,14.69,PINHEAD CREEK,44.9477,-121.8691,480299,8.7989,0.0425,-0.6514,803.071,75.95,0,0,0,0,1.3737,0.9773,0,68.0262,24.6877,0.8657,6e-4,6.7665,0,0,0,0,0.9605,0,1.335,67.7023,24.728,0,0,0,0,0,0.6498,3.341,23.4487,64.5315,24.4644,27.8839,1672.9732,132.117,16.637,1372.001
62,20054507,-121.88932,44.94611,0.184,7.616,0.623,0.617,0.546,11.203,19.528,0.882,3.789,9.312,12.842,12.058,26.747,3.53,14.69,CLACKAMAS RIVER,44.9461,-121.8893,479890,15.659,0.0082,-0.0888,706.462,72.47,0,0.005,0,0.0993,0.999,0.5143,0.0067,57.3656,23.5286,0.803,0.18,235.693,0,0,0,0,0.5563,0,2.6005,69.4613,28.381,0,0,0,0,0,0.5415,1.5823,29.7438,68.5084,25.6334,28.9768,1570.2479,126.4531,17.5015,1274.1147
